"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"YMR042W",63.6474081024462,1.21618910869099,0.213270284751304,1.24984346737036e-09,3.84425538069072e-08
"YGR123C",63.0214883641885,-1.41048547060766,0.249303492792599,1.27425744174451e-09,3.89882748144237e-08
"YPL226W",482.310259161818,-1.01718308893599,0.177967046851198,1.34059091297506e-09,4.08042359136784e-08
"YGR128C",55.4875493137681,-1.41026032006029,0.249613131036875,1.54652921547887e-09,4.68285841205105e-08
"YNL132W",104.767196965767,-1.37640104308097,0.245794999932425,1.81780304785149e-09,5.47589742868253e-08
"YMR131C",198.304135080555,-0.900080976257516,0.158040125053744,1.92133151283576e-09,5.75808274923701e-08
"YPR075C",258.128594553003,0.921283996043164,0.162352571032965,2.00500377274627e-09,5.97818471833123e-08
"YLR003C",29.5466985991939,-1.71713858178881,0.308422432736244,2.12017335697923e-09,6.28948888232822e-08
"YKL182W",1016.49022820038,-1.19183287662496,0.213219842539208,2.20482618464529e-09,6.50757789043791e-08
"YDR259C",31.6645018165866,1.36730291288344,0.245922514470069,2.42130623922046e-09,7.11060988040422e-08
"YDR343C",62.5806942167925,-1.76434368277514,0.320509802593574,2.45396862890047e-09,7.17049633364717e-08
"YDL241W",36.7118377658937,-1.39758257348411,0.252319435474399,2.60903711553515e-09,7.58567806128728e-08
"YER055C",467.756948714562,-0.837648478073986,0.148557685008666,2.7849500015726e-09,8.05705337088627e-08
"YGL078C",193.6358901127,-1.13711833650318,0.204782869925948,3.03546369853932e-09,8.73854672623833e-08
"YGR155W",700.178680661564,-1.06530334387685,0.191756719382099,3.1329545908771e-09,8.97499344563027e-08
"YKL096W",412.972721389362,-1.36881226851864,0.250680173255623,3.84543266571979e-09,1.09622968285202e-07
"YER131W",1144.20513577392,-0.595796429007181,0.104766068325747,3.88226520043834e-09,1.10135717627969e-07
"YDR120C",85.7260021431156,-1.10909694631997,0.20103984771054,3.96030228859871e-09,1.11806795046236e-07
"YDR092W",153.748097042491,0.692239536853409,0.122974046434097,4.19107917782419e-09,1.17444873712092e-07
"YML008C",550.150762088405,-0.620731924623833,0.109692843009122,4.20020167793075e-09,1.17444873712092e-07
"YPL126W",122.510858372717,-1.31920113618205,0.242611985090232,4.73230186677804e-09,1.31693200521195e-07
"YFL054C",147.261200816684,1.34793948581248,0.248390271274229,4.80821392977818e-09,1.33171574434235e-07
"YOL010W",31.561768899487,-1.77939852753989,0.329407068963833,4.95571652987059e-09,1.36609468870584e-07
"YPL062W",8.0331626953658,3.47656013642019,0.618020554075205,5.17797433138041e-09,1.42066112641254e-07
"YPR009W",57.4038901366743,-1.16945221215548,0.214793207267586,5.35658272118992e-09,1.46279763657168e-07
"YLR058C",459.192894054161,-1.68039039295811,0.314659871562908,5.97531346836365e-09,1.62417357716824e-07
"YNL182C",58.4099216983728,-1.26783004232732,0.234646117369981,6.2522915659758e-09,1.6915922181279e-07
"YDL214C",17.7769671622898,1.70591797295349,0.319239201956763,6.28985002598218e-09,1.69391168441658e-07
"YMR081C",62.9419239364756,-1.40094121309473,0.261496355762448,6.78813140948522e-09,1.81971742922163e-07
"YJL082W",239.946625133393,-0.801721136076173,0.147903320589377,1.09204117081493e-08,2.9141043845856e-07
"YIL119C",47.755272216581,-1.77819193225736,0.338367046909274,1.1047998464203e-08,2.93475013749101e-07
"YGR173W",59.9661688935767,-0.998433386907944,0.186490554718913,1.14059332954464e-08,3.01612100355606e-07
"YML122C",8.9122290074978,2.5016349065797,0.470282400330445,1.19437718543403e-08,3.1441172394939e-07
"YGR108W",54.8577946365044,-1.24552690066897,0.235833095543642,1.20999841981828e-08,3.17095550018745e-07
"YHR216W",225.503059694038,-1.28786149594944,0.244722411784641,1.21907983211012e-08,3.18049220484444e-07
"YDR481C",328.532347311181,-0.762614647385575,0.141131543594058,1.23683808187044e-08,3.21248077797815e-07
"YOR344C",82.5850131056777,-1.41679447216533,0.270555712570993,1.39139247461549e-08,3.59791930161633e-07
"YLL008W",115.842087934053,-1.39815365243829,0.267088926269143,1.42863447971779e-08,3.67794709227787e-07
"YLR327C",361.937307715321,-1.77356480689734,0.34406613893007,1.5774185668934e-08,4.04317285303729e-07
"YKR024C",27.0526788113579,-1.62581976530584,0.313392770629177,1.60921125158176e-08,4.1066508970497e-07
"YDR091C",124.172015645148,-1.27705832615919,0.244873015103671,1.6370233611194e-08,4.14145650319558e-07
"YDR165W",68.0475965609789,-1.10757704132386,0.210498052719172,1.634140498216e-08,4.14145650319558e-07
"YCL036W",15.6806449892969,-1.68418218263369,0.323567802937921,1.70884241359237e-08,4.30451511423871e-07
"YDR277C",201.203971210242,-1.36238057474877,0.262592356862192,1.78232383237172e-08,4.47034355209457e-07
"YOL143C",419.754180519747,-0.735893264056246,0.137807499843917,1.89372933489532e-08,4.72946762099498e-07
"YJL050W",156.897253961194,-1.22020702743807,0.234831060452061,1.9150497643598e-08,4.76236205230583e-07
"YKL161C",50.9834612448929,1.04403466740821,0.199449863900103,2.02265941035569e-08,5.00865321784689e-07
"YHL021C",279.770155436053,-1.35557544110726,0.263090599720665,2.08937442792141e-08,5.13037989780366e-07
"YJL077C",40.4099306743528,1.68451887237901,0.330248959667777,2.08111505146972e-08,5.13037989780366e-07
"YDR059C",73.6993179766531,1.46459728977817,0.285227442580354,2.16058550356699e-08,5.25330381527208e-07
"YER070W",126.240949819331,-0.924732886791123,0.176394115876442,2.15932879982479e-08,5.25330381527208e-07
"YPR110C",188.095610929186,-0.875517101937781,0.166155908077407,2.16640352409406e-08,5.25330381527208e-07
